product_id,product_title,category_id,category_name,price,list_price,rating,review_count,has_rating,weighted_score,units_sold_last_month,is_best_seller,has_title,image_url,product_url,price_segment,popularity_tier,units_norm,wscore_norm,strategic_score,category_rank,is_top_10_category
B01M0G8XWS,"ENERLITES Triple Light Switch Wall Plate, Gloss Finish, Standard Size 3-Gang 4.50"" x 6.38"", Unbreakable Polycarbonate Thermoplastic, 8813-W, White",210,Electrical Equipment,5.29,0.0,4.7,0,True,0.0,1000,False,True,https://m.media-amazon.com/images/I/41QcEqKTT1L._AC_UL320_.jpg,https://www.amazon.com/dp/B01M0G8XWS,budget,high,0.16666667,0.0,0.06666667,54,False
B00L2LTYDK,"Ergodyne Chill Its 6602 Cooling Towel, Long Lasting Cooling Relief, Gray 29.50"" x 13.00""",205,Safety & Security,6.23,8.55,4.2,0,True,0.0,600,True,True,https://m.media-amazon.com/images/I/61peb0pJnbL._AC_UL320_.jpg,https://www.amazon.com/dp/B00L2LTYDK,budget,high,0.02,0.0,0.058,45,False
B085M87HY1,"Cat Construction Power Track Friends Preschool Train Set, Yellow,black",234,Kids' Play Trains & Trams,23.85,29.99,4.4,0,True,0.0,50,False,True,https://m.media-amazon.com/images/I/81caQ1JDNtL._AC_UL320_.jpg,https://www.amazon.com/dp/B085M87HY1,premium,high,0.05,0.0,0.02,66,False
B0BDQ78NMM,"Light up Headphone Controller Holder, 16 Colors 3D LED Lights Gamepad Stand, Game Controller Hanger for All Universal Gaming PC Accessories (Customize Headphone & Controller Holder)",261,"PlayStation 5 Consoles, Games & Accessories",39.99,0.0,5.0,2,True,5.4930615,0,False,True,https://m.media-amazon.com/images/I/81uJsUYk3TL._AC_UY218_.jpg,https://www.amazon.com/dp/B0BDQ78NMM,luxury,medium,0.0,0.11813493,0.06497421,49,False
B09W25JLZW,"7 Inch Double Din Car Stereo Support Apple CarPlay Android Auto Mirror Link Capacitive Touchscreen Monitor Car Play Radio with Bluetooth 5.0, FM Radio, USB/TF/AUX Port, Backup Camera, Remote Control",26,Car Electronics & Accessories,84.99,99.99,3.4,0,True,0.0,100,False,True,https://m.media-amazon.com/images/I/71lj2vMVVRL._AC_UL320_.jpg,https://www.amazon.com/dp/B09W25JLZW,luxury,high,0.2,0.0,0.08,30,False
B01MY9A3HH,ACT Kids Anticavity Fluoride Toothpaste 4.6 oz. Bubble Gum Blowout,45,Beauty & Personal Care,2.99,3.99,4.7,0,True,0.0,10000,False,True,https://m.media-amazon.com/images/I/71vhvlI9D7L._AC_UL320_.jpg,https://www.amazon.com/dp/B01MY9A3HH,budget,high,0.33333334,0.0,0.13333334,2,True
B072FJ719T,Boys Slip On Loafer Shoes,265,Boys' School Uniforms,25.99,0.0,4.5,0,True,0.0,50,False,True,https://m.media-amazon.com/images/I/61xufZmLUkL._AC_UL320_.jpg,https://www.amazon.com/dp/B072FJ719T,premium,high,0.083333336,0.0,0.033333335,12,False
B082S4JCX8,Motor city classics | Coca-Cola Long Hauler | 1:87 Scale Model Diecast Collectible | 487010,239,Kids' Play Tractors,16.85,0.0,4.3,270,True,24.089111,100,False,True,https://m.media-amazon.com/images/I/71XOn-L65ZL._AC_UL320_.jpg,https://www.amazon.com/dp/B082S4JCX8,mid,high,0.033333335,0.5020311,0.28945044,90,False
B09D42RZWX,"Trouble: Bluey Edition Board/Fun Game for Kids Ages 5 and Up, Game for 2-4 Players, Race Bluey, Bingo, Bandit, or Chilli to The Finish (Amazon Exclusive)",223,Games & Accessories,16.99,0.0,4.7,0,True,0.0,3000,False,True,https://m.media-amazon.com/images/I/71zkOJbIPAL._AC_UL320_.jpg,https://www.amazon.com/dp/B09D42RZWX,mid,high,0.5,0.0,0.2,18,False
B08SY6LGBL,"Nerf Elite 2.0 Shockwave RD-15 Dart Blaster, 30 Nerf Elite Darts, 15-Dart Rotating Drum, Kids Outdoor Toys for 8 Year Old Boys & Girls and Up",228,Sports & Outdoor Play Toys,27.99,0.0,4.6,11055,True,42.82935,1000,False,True,https://m.media-amazon.com/images/I/81SkxfslViL._AC_UL320_.jpg,https://www.amazon.com/dp/B08SY6LGBL,premium,high,0.14285715,0.860466,0.53039914,33,False
B09GKX9J39,NatureWorks HydroMATE Electrolytes Powder Drink Mix Packets Hydration Accelerator Low Sugar Rapid Party Recovery Plus Vitamin C Variety Pack 30 Count,136,Sports Nutrition Products,35.95,39.99,4.3,0,True,0.0,10000,False,True,https://m.media-amazon.com/images/I/81zMhna-VsL._AC_UL320_.jpg,https://www.amazon.com/dp/B09GKX9J39,premium,high,0.1,0.0,0.04,84,False
B08DLNRNKX,"Caution Wet Floor Sign, Foldable Sturdy Bilingual Double-Sided Safety Warning Signs for Commercial Use, Pool (2-Pack Yellow)",152,Occupational Health & Safety Products,26.98,0.0,4.7,0,True,0.0,500,False,True,https://m.media-amazon.com/images/I/71LTRyeiJhL._AC_UL320_.jpg,https://www.amazon.com/dp/B08DLNRNKX,premium,high,0.1,0.0,0.04,63,False
B01FX5H93M,"Scrubbing Bubbles Fresh Gel Toilet Bowl Cleaning Stamps Starter Pack, Clean and Prevent Limescale and Toilet Rings, Lavender Scent, 1 Dispenser with 6 Stamps, 1.34 Oz",167,Household Cleaning Supplies,5.49,0.0,4.5,0,True,0.0,10000,True,True,https://m.media-amazon.com/images/I/81erJiDTk3L._AC_UL320_.jpg,https://www.amazon.com/dp/B01FX5H93M,budget,high,0.1,0.0,0.09,36,False
B09TLDX6HK,"Fossil Women's Gen 5E 42mm Stainless Steel Touchscreen Smartwatch with Alexa, Speaker, Heart Rate, Activity Tracking and Smartphone Notifications",68,Wearable Technology,207.42,249.0,4.3,5913,True,37.345833,0,False,True,https://m.media-amazon.com/images/I/71rE-URDyvL._AC_UL320_.jpg,https://www.amazon.com/dp/B09TLDX6HK,luxury,low,0.0,0.79866904,0.43926796,82,False
B09ND1LTM5,"GearIT 8 Gauge Wire (25ft Each- Black/Red Translucent) Copper Clad Aluminum CCA - Primary Automotive Wire Power/Ground, Battery Cable, Car Audio Speaker, RV Trailer, Amp, Electrical 8ga AWG 25 Feet",78,Vehicle Electronics,14.99,0.0,4.5,0,True,0.0,0,True,True,https://m.media-amazon.com/images/I/91xxo7HzoaL._AC_UL320_.jpg,https://www.amazon.com/dp/B09ND1LTM5,mid,low,0.0,0.0,0.05,48,False
B095C4MFND,"T Phael White Home Button Replacement Compatible with iPad 5 5th Gen 2017 (A1822 A1823) and iPad 6 6th Generation 2018 (A1893 A1954) 9.7"" Incl Flex Cable Connector and Screwdriver(Silver Ring)",58,Tablet Replacement Parts,8.59,0.0,4.1,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/51ssXkX-lTS._AC_UL320_.jpg,https://www.amazon.com/dp/B095C4MFND,budget,medium,0.0,0.0,0.0,57,False
B08CDBYL9D,"Digital Infrared Forehead Thermometer for Adults and Kids Baby Babies Touchless Basal Thermometer No Touch Fever Instant Read Thermometers for Humans, Home, Offices, School, Shopping Mall",35,Baby Care Products,14.99,0.0,4.4,1095,True,30.797459,400,False,True,https://m.media-amazon.com/images/I/51-7p5Nc1qL._AC_UL320_.jpg,https://www.amazon.com/dp/B08CDBYL9D,mid,high,0.013333334,0.75149554,0.41865587,57,False
B0B9YRY9MW,"Gorilla Grip 6 Piece Packing Cubes Set, Compression Space Saving Organizers for Suitcases and Luggage, Mesh Window Bags, Travel Essentials for Carry On, Clothes and Shoes, Cube with Zipper, Turquoise",105,Travel Accessories,16.99,0.0,4.5,0,True,0.0,1000,False,True,https://m.media-amazon.com/images/I/91nBRlX4wxL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B9YRY9MW,mid,high,0.025,0.0,0.01,91,False
