product_id,product_title,category_id,category_name,price,list_price,rating,review_count,has_rating,weighted_score,units_sold_last_month,is_best_seller,has_title,image_url,product_url,price_segment,popularity_tier,llm_brand_guess,llm_product_type,llm_attributes_json,llm_keywords_json,llm_title_clean,llm_model,created_at_utc,llm_error
B07LDK5HZL,"Arteza 8.3x11.7 Inch Watercolor Book, Pack of 2, 64 Pages per Pad, 110lb/230 GSM, Linen Bound with Bookmark Ribbon and Elastic Strap, Art Supplies for Watercolor Techniques and Mixed Media",10,"Painting, Drawing & Art Supplies",30.99,0.0,4.7,0,True,0.0,50,False,True,https://m.media-amazon.com/images/I/91FcmL3emWL._AC_UL320_.jpg,https://www.amazon.com/dp/B07LDK5HZL,premium,high,,,,,,,,
B0916G7MRG,"Lenovo USB-C Mini Dock, 7-in-1 Portable Dock with HDMI, VGA, USB-C, USB 3.1, USB 2, 3.5mm Audio, Ethernet, 45W Charging, Compatible with Lenovo, Apple & USB-C Laptops, G0A70065US",65,Laptop Accessories,112.97,0.0,4.4,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/61xzU1hEP0L._AC_UL320_.jpg,https://www.amazon.com/dp/B0916G7MRG,luxury,low,,,,,,,,
B096859MJ3,"Jienk 2Packs Pneumatic 304 Stainless Steel Male Elbow 1/4"" Tube OD x 1/4"" NPT Thread Push to Connect Air Fittings,90 Degree Quick Connector for Air Compressor Air Horn Air Bag",147,"Hydraulics, Pneumatics & Plumbing",12.99,13.99,4.4,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/51C2iUGbq3S._AC_UL320_.jpg,https://www.amazon.com/dp/B096859MJ3,mid,medium,,,,,,,,
B0BJNQ57T8,"Energizer 600 Watt 12V DC to 110V AC Car Power Inverter, Modified Sine Wave, 2 Outlets, 2 USB Ports, Cigarette Lighter Plug & Clamps - ETL Approved Under UL STD 458",17,Automotive Tools & Equipment,59.97,0.0,4.3,527,True,26.957113,0,False,True,https://m.media-amazon.com/images/I/61Dc4W9NgRL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BJNQ57T8,luxury,low,,,,,,,,
B013PTOXA0,Hi-Spec 27pc 3.6V Pink USB Small Power Electric Screwdriver Set for Women. Cordless & Rechargeable with Driver Bit Set,207,Power Tools & Hand Tools,27.99,38.99,4.4,0,True,0.0,1000,False,True,https://m.media-amazon.com/images/I/71SztRyzeJL._AC_UL320_.jpg,https://www.amazon.com/dp/B013PTOXA0,premium,high,,,,,,,,
B071GMVQ4H,"Men's Roma Basic Sneaker, White-teamgold, 10",114,Men's Shoes,69.85,0.0,4.3,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/71TIeHt6T0L._AC_UL320_.jpg,https://www.amazon.com/dp/B071GMVQ4H,luxury,low,,,,,,,,
B07T9C15KZ,Fan Replacement for HP 250 G7 255 G7 256 G7 CPU Cooling Fan SPS L20474-001 UMA,63,Computer Components,14.69,0.0,4.4,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/91PyQyFJBdL._AC_UL320_.jpg,https://www.amazon.com/dp/B07T9C15KZ,mid,medium,,,,,,,,
B085Q1T78M,560 PCS Heat Shrink Wire Connectors Qibaok Electrical Connectors Kit Copper Waterproof Marine Automotive Crimp Connector 16-14 22-16 12-10 Gauge Insulated Ring Fork Hook Spade Butt Splices,149,Electronic Components,33.99,0.0,4.7,0,True,0.0,100,False,True,https://m.media-amazon.com/images/I/81AR8JZrE0L._AC_UL320_.jpg,https://www.amazon.com/dp/B085Q1T78M,premium,high,,,,,,,,
B01AGPDZ00,"D&D PowerDrive 100-S5M-450 Timing Belt, S5M Belt Cross Section, 450 mm Length, Rubber",139,Power Transmission Products,6.94,0.0,0.0,0,False,0.0,0,False,True,https://m.media-amazon.com/images/I/918AgRfV7DL._AC_UL320_.jpg,https://www.amazon.com/dp/B01AGPDZ00,budget,medium,,,,,,,,
B07MNV1CK9,FEIT BR30DM/850/10KLED/6 650 Lumen 5000K Dimmable BR30 LED (6-Pack),206,Light Bulbs,28.42,0.0,4.3,12,True,11.029283,0,False,True,https://m.media-amazon.com/images/I/61P3Ck+-v5L._AC_UL320_.jpg,https://www.amazon.com/dp/B07MNV1CK9,premium,low,,,,,,,,
